r,lambda
3.7090112640801003,0.35909228945143373
3.710888610763454,0.34497663093802167
3.712765957446808,0.3643893838264427
3.7146433041301625,0.3735680295293525
3.716520650813517,0.36685123645089585
3.7183979974968713,0.34747768937743
3.720275344180225,0.3821231811287952
3.722152690863579,0.3818216464950424
3.7240300375469335,0.3569294354564738
3.725907384230288,0.3727682429945069
3.7277847309136423,0.3929944470024039
3.729662077596996,0.3885421161594226
3.73153942428035,0.3622596922978266
3.7334167709637045,0.3636308978660695
3.735294117647059,0.37974919894255826
3.7371714643304133,0.3443552589593742
3.739048811013767,-0.4891985942102784
3.740926157697121,-0.014041398492757947
3.7428035043804755,-0.053178983982328794
3.74468085106383,0.12562036613303065
3.7465581977471842,0.32657456901345844
3.748435544430538,0.33796469122647255
3.750312891113892,0.3497481297487006
3.7521902377972465,0.36244606440152133
3.754067584480601,0.3766609141575868
3.7559449311639552,0.35191582949758404
3.757822277847309,0.3584169561793074
3.759699624530663,0.38656413929851124
3.7615769712140175,0.3894501584152165
3.763454317897372,0.3888672634132187
3.7653316645807258,0.3953849165088289
3.76720901126408,0.3882114823063752
3.769086357947434,0.41559211842750454
3.7709637046307884,0.38883021121446715
3.772841051314143,0.3869759228274617
3.7747183979974968,0.04865188514918941
3.776595744680851,0.4005240713045209
3.778473091364205,0.4103720057492457
3.7803504380475594,0.40907112509590443
3.782227784730914,0.3985480079939663
3.7841051314142677,0.4168810688688859
3.7859824780976217,0.39082985244918483
3.787859824780976,0.4052950235368655
3.7897371714643304,0.40448754597505754
3.791614518147685,0.43370803884083964
3.7934918648310387,0.44096924512415636
3.7953692115143927,0.4330042137159371
3.797246558197747,0.4387157059823978
3.7991239048811014,0.42804581006024844
3.801001251564456,0.06116777811041795
3.8028785982478097,0.40049447448117576
3.8047559449311636,0.4285164619608884
3.806633291614518,0.420531701580281
3.8085106382978724,-0.014744124876393313
3.8103879849812268,0.4397950973180395
3.8122653316645807,0.44818615395066236
3.8141426783479346,0.43929689879359124
3.816020025031289,0.40932190415541836
3.8178973717146434,0.451862618324907
3.8197747183979978,0.43895540790798426
3.8216520650813517,0.4288241753142405
3.8235294117647056,0.429053879775878
3.82540675844806,0.39421242975428494
3.8272841051314144,0.3594715909063495
3.8291614518147687,-0.20269724812136586
3.8310387984981227,-0.6739969041621058
3.8329161451814766,-0.6427862444105924
3.834793491864831,-0.329571154120232
3.8366708385481854,-0.18764788775259178
3.8385481852315393,-0.0969949750586642
3.8404255319148937,-0.030937739978374738
3.8423028785982476,-0.05040456408067901
3.844180225281602,-0.3438147804300577
3.8460575719649563,-0.11947267209251329
3.8479349186483103,-0.04746029408397588
3.849812265331664,0.05600254647650169
3.8516896120150186,0.11578290205767322
3.853566958698373,0.12713703267016319
3.8554443053817273,0.18394384191656074
3.8573216520650813,0.3156333325142516
3.859198998748435,0.34812955166419524
3.8610763454317896,0.3607766464682235
3.862953692115144,0.4161572382464477
3.8648310387984983,0.39562752465418066
3.8667083854818523,0.42750878734508757
3.868585732165206,0.4536113961206519
3.8704630788485606,0.43022856391158615
3.872340425531915,0.4435121344776989
3.8742177722152693,0.44910877837338165
3.8760951188986232,0.4591364969812067
3.877972465581977,0.48567525937342493
3.8798498122653315,0.458549155950708
3.881727158948686,0.4944562395773292
3.8836045056320403,0.4774422122401263
3.8854818523153942,0.49315712170014225
3.887359198998748,0.4554918488144552
3.8892365456821025,0.4718627620667765
3.891113892365457,0.49441075130494805
3.8929912390488113,0.48915788865712284
3.894868585732165,0.5075757491891525
3.896745932415519,0.503217383780393
3.8986232790988735,0.502335866983517
3.900500625782228,0.5097525345485531
3.902377972465582,0.5033018824802528
3.904255319148936,0.5068629071212957
3.90613266583229,-0.02102493442567566
3.9080100125156445,0.4497509294931759
3.909887359198999,0.5084829176510003
3.911764705882353,0.5015779459112026
3.913642052565707,0.4976599121458521
3.915519399249061,0.516930550896597
3.9173967459324155,0.5334959952074049
3.91927409261577,0.531857996858134
3.921151439299124,0.5441431287862599
3.9230287859824777,0.5142586568834574
3.924906132665832,0.5332890525080479
3.9267834793491865,0.5379832474330692
3.928660826032541,0.5553085185972865
3.930538172715895,0.5582307691047667
3.9324155193992487,0.5526972450625233
3.934292866082603,0.5680687403570295
